title,company,location,salary,link,description,posted_date,source,sector
Account Officer,H-Edge Corporate Ltd,Port Louis,"21,000 - 30,000",https://www.myjob.mu/Jobs/Accounts-Officer-195035.aspx,,2025-07-13T02:45:06.938147,myjob.mu,Finance
Beauty Advisors,Albert Group,Mauritius,Not disclosed,https://www.myjob.mu/Jobs/Beauty-Advisors-195034.aspx,,2025-07-13T02:45:06.940163,myjob.mu,Other
Beautician,Albert Group,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/Beautician-195033.aspx,,2025-07-13T02:45:06.943137,myjob.mu,Other
DEMI CHEFS DE RANG,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/DEMI-CHEFS-DE-RANG-195032.aspx,,2025-07-13T02:45:06.943137,myjob.mu,Other
COOKS,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/COOKS-195031.aspx,,2025-07-13T02:45:06.944241,myjob.mu,Other
BUTCHER,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/BUTCHER-195030.aspx,,2025-07-13T02:45:06.946304,myjob.mu,Other
CHEFS DE PARTIE,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/CHEFS-DE-PARTIE-195029.aspx,,2025-07-13T02:45:06.947319,myjob.mu,Other
OUTLET HOST/HOSTESSES,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/OUTLET-HOST-HOSTESSES-195028.aspx,,2025-07-13T02:45:06.948326,myjob.mu,Other
BARTENDERS,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/BARTENDERS-195027.aspx,,2025-07-13T02:45:06.948326,myjob.mu,Other
BARISTAS,The Lux Collective Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/BARISTAS-195026.aspx,,2025-07-13T02:45:06.950343,myjob.mu,Other
Sales Representative,Elie & Sons Funeral Scheme Ltd,Mauritius,"10,000 - 20,000",https://www.myjob.mu/Jobs/Sales-Representative-195025.aspx,,2025-07-13T02:45:06.950343,myjob.mu,Retail
ADMINISTRATIVE ASSISTANT,The Lux Collective Ltd,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/ADMINISTRATIVE-ASSISTANT-194783.aspx,,2025-07-13T02:45:06.951886,myjob.mu,Administration
Housekeeping Coordinator,Hilton Mauritius Resort & Spa,Black River,Negotiable,https://www.myjob.mu/Jobs/Housekeeping-Coordinator-195024.aspx,,2025-07-13T02:45:06.951886,myjob.mu,Hospitality
Security Guard,Radisson Resorts Mauritius,Riviere du Rempart,Not disclosed,https://www.myjob.mu/Jobs/Security-Guard-195023.aspx,,2025-07-13T02:45:06.952974,myjob.mu,IT
Head Waiter,Radisson Resorts Mauritius,Flacq,Negotiable,https://www.myjob.mu/Jobs/Head-Waiter-195022.aspx,,2025-07-13T02:45:06.952974,myjob.mu,Hospitality
Cook,Radisson Resorts Mauritius,Riviere du Rempart,Not disclosed,https://www.myjob.mu/Jobs/Cook-195021.aspx,,2025-07-13T02:45:06.953945,myjob.mu,Other
Chef de Partie,Radisson Resorts Mauritius,Riviere du Rempart,Not disclosed,https://www.myjob.mu/Jobs/Chef-de-Partie-195020.aspx,,2025-07-13T02:45:06.953945,myjob.mu,Hospitality
Demi Chef de Partie,Radisson Resorts Mauritius,Riviere du Rempart,Not disclosed,https://www.myjob.mu/Jobs/Demi-Chef-de-Partie-195019.aspx,,2025-07-13T02:45:06.955895,myjob.mu,Hospitality
Corporate Accountant and Administrator,She Recruits Pty Ltd,Port Louis,"41,000 - 50,000",https://www.myjob.mu/Jobs/Corporate-Accountant-and-Administrator-195018.aspx,,2025-07-13T02:45:06.956957,myjob.mu,Finance
Assistant(e) RH et Admin,TOP-WEBGROUP,Mauritius,Negotiable,https://www.myjob.mu/Jobs/Assistant-e-RH-et-Admin-193913.aspx,,2025-07-13T02:45:06.957895,myjob.mu,Administration
Customer Success Specialist - Services aux Familles,TOP-WEBGROUP,Black River,"21,000 - 30,000",https://www.myjob.mu/Jobs/Customer-Success-Specialist-Services-aux-193914.aspx,,2025-07-13T02:45:06.960966,myjob.mu,Other
IT Support Assistant/Officer,PhoenixBev,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/IT-Support-Assistant-Officer-195017.aspx,,2025-07-13T02:45:06.961975,myjob.mu,IT
Workshop Controller,Leal & Co Ltd,Port Louis,Not disclosed,https://www.myjob.mu/Jobs/Workshop-Controller-195016.aspx,,2025-07-13T02:45:06.962939,myjob.mu,Finance
Corporate Client Administrator,She Recruits Pty Ltd,Port Louis,"21,000 - 30,000",https://www.myjob.mu/Jobs/Corporate-Client-Administrator-195015.aspx,,2025-07-13T02:45:06.963928,myjob.mu,IT
Senior HR Officer,Atalian Interactive Ltd,Port Louis,"41,000 - 50,000",https://www.myjob.mu/Jobs/Senior-HR-Officer-195014.aspx,,2025-07-13T02:45:06.963928,myjob.mu,Administration
Gestionnaire de rendez-vous,Atalian Interactive Ltd,Port Louis,"21,000 - 30,000",https://www.myjob.mu/Jobs/Gestionnaire-de-rendez-vous-195013.aspx,,2025-07-13T02:45:06.964950,myjob.mu,Other
Comptable Junior,Atalian Interactive Ltd,Port Louis,"21,000 - 30,000",https://www.myjob.mu/Jobs/Comptable-Junior-195012.aspx,,2025-07-13T02:45:06.965987,myjob.mu,Other
Senior Business Systems Consultant,Leal & Co Ltd,Port Louis,Not disclosed,https://www.myjob.mu/Jobs/Senior-Business-Systems-Consultant-193785.aspx,,2025-07-13T02:45:06.966940,myjob.mu,Other
Project Engineer,RT Knits Ltd,Port Louis,Not disclosed,https://www.myjob.mu/Jobs/Project-Engineer-195011.aspx,,2025-07-13T02:45:06.966940,myjob.mu,IT
Retention Support Assistant,Emtel Ltd (currimjee group),Plaine Wilhems,"10,000 - 20,000",https://www.myjob.mu/Jobs/Retention-Support-Assistant-195009.aspx,,2025-07-13T02:45:06.968948,myjob.mu,Other
Parts Advisor,Leal & Co Ltd,Port Louis,Not disclosed,https://www.myjob.mu/Jobs/Parts-Advisor-195008.aspx,,2025-07-13T02:45:06.968948,myjob.mu,Other
Head Freight Forwarding (2509-HFF),Alentaris Recruitment Ltd,Port Louis,Negotiable,https://www.myjob.mu/Jobs/Head-Freight-Forwarding-2509-HFF-195007.aspx,,2025-07-13T02:45:06.969991,myjob.mu,Other
Mechanic,Leal & Co Ltd,Port Louis,Not disclosed,https://www.myjob.mu/Jobs/Mechanic-193796.aspx,,2025-07-13T02:45:06.970969,myjob.mu,Technical
Accounts Officer (2516-AOFF),Alentaris Recruitment Ltd,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Accounts-Officer-2516-AOFF-195006.aspx,,2025-07-13T02:45:06.970969,myjob.mu,Finance
Human Resources Executive (2528-HRE),Alentaris Recruitment Ltd,Port Louis,Negotiable,https://www.myjob.mu/Jobs/Human-Resources-Executive-2528-HRE-195005.aspx,,2025-07-13T02:45:06.972895,myjob.mu,Administration
Invoicing Assistant,Aptis Services Company Limited,Pamplemousses,Negotiable,https://www.myjob.mu/Jobs/Invoicing-Assistant-195004.aspx,,2025-07-13T02:45:06.973897,myjob.mu,Other
Responsable Administratif/ve & Financièr/e (2528-RAF),Alentaris Recruitment Ltd,Port Louis,Negotiable,https://www.myjob.mu/Jobs/Responsable-Administratif-ve-Financier-e-195003.aspx,,2025-07-13T02:45:06.977517,myjob.mu,Other
Assistant Storekeeper,Aptis Services Company Limited,Pamplemousses,Negotiable,https://www.myjob.mu/Jobs/Assistant-Storekeeper-195002.aspx,,2025-07-13T02:45:06.977517,myjob.mu,Other
Accounts Coordinator - Financial Analyst,Proactive Talent Solutions,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Accounts-Coordinator-Financial-Analyst-195001.aspx,,2025-07-13T02:45:06.978590,myjob.mu,Finance
Senior Joinery Estimator,MANSER SAXON CONTRACTING LTD,Pamplemousses,Not disclosed,https://www.myjob.mu/Jobs/Senior-Joinery-Estimator-195000.aspx,,2025-07-13T02:45:06.979510,myjob.mu,Other
English Customer Service Representatives (Email & Chat),Apollo blake,Mauritius,"21,000 - 30,000",https://www.myjob.mu/Jobs/English-Customer-Service-Representatives-Email-193674.aspx,,2025-07-13T02:45:13.153868,myjob.mu,Retail
Construction Surveyor,MANSER SAXON CONTRACTING LTD,Pamplemousses,Negotiable,https://www.myjob.mu/Jobs/Construction-Surveyor-194999.aspx,,2025-07-13T02:45:13.154787,myjob.mu,Other
Téléprospecteur | Téléprospectrice Bilingue (FR et UK) Senior,HDM Ltd,Port Louis,Negotiable,https://www.myjob.mu/Jobs/Teleprospecteur-Teleprospectrice-Bilingue-FR-et-193437.aspx,,2025-07-13T02:45:13.154787,myjob.mu,Other
Comptable,Linkeo Ltd,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Comptable-194998.aspx,,2025-07-13T02:45:13.155790,myjob.mu,Other
Assistant Comptable,Linkeo Ltd,Mauritius,Negotiable,https://www.myjob.mu/Jobs/Assistant-Comptable-194997.aspx,,2025-07-13T02:45:13.156789,myjob.mu,Other
Broking Assistant,Proactive Talent Solutions,Moka,Negotiable,https://www.myjob.mu/Jobs/Broking-Assistant-194996.aspx,,2025-07-13T02:45:13.156789,myjob.mu,Other
Conseillers(ères),Solocal Interactive Ltd,Grand Port,Not disclosed,https://www.myjob.mu/Jobs/Conseillers-eres-194995.aspx,,2025-07-13T02:45:13.157838,myjob.mu,Other
Chargé(e) de recouvrement - F/H/X [Mauritius],Mantu Group (Amaris Consulting),Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Charge-e-de-recouvrement-F-194994.aspx,,2025-07-13T02:45:13.158776,myjob.mu,Other
Senior Accounts Payable Officer,Transinvest Construction Ltd,Port Louis,Negotiable,https://www.myjob.mu/Jobs/Senior-Accounts-Payable-Officer-193506.aspx,,2025-07-13T02:45:13.158776,myjob.mu,Administration
HR Trainee,Transinvest Construction Ltd,Port Louis,"10,000 - 20,000",https://www.myjob.mu/Jobs/HR-Trainee-194993.aspx,,2025-07-13T02:45:13.159801,myjob.mu,Administration
Mechanical Team Leader,AT.io,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Mechanical-Team-Leader-194992.aspx,,2025-07-13T02:45:13.160765,myjob.mu,Other
Commercial B2B,Taram Group,Plaine Wilhems,"31,000 - 40,000",https://www.myjob.mu/Jobs/Commercial-B2B-194991.aspx,,2025-07-13T02:45:13.161769,myjob.mu,Other
ERP and Data Executive,IBL BrandActiv,Pamplemousses,Not disclosed,https://www.myjob.mu/Jobs/ERP-and-Data-Executive-194990.aspx,,2025-07-13T02:45:13.163819,myjob.mu,IT
PO Follow Up Specialist Intern,ABInBev,Black River,"10,000 - 20,000",https://www.myjob.mu/Jobs/PO-Follow-Up-Specialist-Intern-194989.aspx,,2025-07-13T02:45:13.164809,myjob.mu,Other
Junior Data Analyst - CMBS,Dealview Technologies MU,Mauritius,Not disclosed,https://www.myjob.mu/Jobs/Junior-Data-Analyst-CMBS-194988.aspx,,2025-07-13T02:45:13.166793,myjob.mu,IT
Operations Specialist,ABInBev,Black River,"21,000 - 30,000",https://www.myjob.mu/Jobs/Operations-Specialist-194987.aspx,,2025-07-13T02:45:13.167341,myjob.mu,Administration
Sous Chef,OUTRIGGER Mauritius Beach Resort,Savanne,Not disclosed,https://www.myjob.mu/Jobs/Sous-Chef-194986.aspx,,2025-07-13T02:45:13.168381,myjob.mu,Hospitality
Junior Executive Sous Chef,OUTRIGGER Mauritius Beach Resort,Savanne,Not disclosed,https://www.myjob.mu/Jobs/Junior-Executive-Sous-Chef-194985.aspx,,2025-07-13T02:45:13.169383,myjob.mu,Hospitality
Technical Sales Representative,Globalcom Co Ltd,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Technical-Sales-Representative-194984.aspx,,2025-07-13T02:45:13.169383,myjob.mu,Retail
Ouvriers,Transinvest Construction Ltd,Mauritius,"21,000 - 30,000",https://www.myjob.mu/Jobs/Ouvriers-194983.aspx,,2025-07-13T02:45:13.170386,myjob.mu,Other
Trainee – Supply Chain,Emtel Ltd (currimjee group),Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/Trainee-Supply-Chain-194982.aspx,,2025-07-13T02:45:13.170386,myjob.mu,Other
Direct Sales Executive,Emtel Ltd (currimjee group),Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Direct-Sales-Executive-193909.aspx,,2025-07-13T02:45:13.171411,myjob.mu,Retail
"Brand, Communication and Digital Marketing Officer",Emtel Ltd (currimjee group),Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/Brand-Communication-and-Digital-Marketing-194146.aspx,,2025-07-13T02:45:13.172399,myjob.mu,Administration
Service Operations Centre (SOC) Analyst– Service Management,Emtel Ltd (currimjee group),Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/Service-Operations-Centre-SOC-Analyst-194561.aspx,,2025-07-13T02:45:13.174447,myjob.mu,Administration
Associate Fund Administrator,Axis Fiduciary Ltd,Plaine Wilhems,Not disclosed,https://www.myjob.mu/Jobs/Associate-Fund-Administrator-194981.aspx,,2025-07-13T02:45:13.176384,myjob.mu,IT
Lift Technician,Service Technique du Batiment (STB) Ltee,Plaine Wilhems,Negotiable,https://www.myjob.mu/Jobs/Lift-Technician-194980.aspx,,2025-07-13T02:45:13.177385,myjob.mu,IT
